timestamp,cluster_cpu_util,cluster_mem_util,running_total,pending
2025-12-02 00:01:00+07:00,0.7742590962159308,0.3067438039185897,62.0,0.0
2025-12-02 00:02:00+07:00,0.757697495292263,0.30793588948198186,62.0,0.0
2025-12-02 00:03:00+07:00,0.7569661532860859,0.3073625429479391,62.0,0.0
2025-12-02 00:04:00+07:00,0.7621154741661389,0.3074450737074742,62.0,0.0
2025-12-02 00:05:00+07:00,0.7596241151954389,0.30587917110886553,62.0,0.0
2025-12-02 00:06:00+07:00,0.7631792855152442,0.3065467005171082,62.0,0.0
2025-12-02 00:07:00+07:00,0.7634900667147547,0.3073460363006891,62.0,0.0
2025-12-02 00:08:00+07:00,0.7606980508790582,0.3051354220642213,62.0,0.0
2025-12-02 00:09:00+07:00,0.7615395831463299,0.30632095420214,62.0,0.0
2025-12-02 00:10:00+07:00,0.7621513037745389,0.30789098322360414,62.0,0.0
2025-12-02 00:11:00+07:00,0.7603441738979453,0.3070474690375407,62.0,0.0
2025-12-02 00:12:00+07:00,0.7638943164599106,0.3062940102086454,62.0,0.0
2025-12-02 00:13:00+07:00,0.7558850106234725,0.3073639992974976,62.0,0.0
2025-12-02 00:14:00+07:00,0.7585099343274277,0.307189956073856,62.0,0.0
2025-12-02 00:15:00+07:00,0.7579278705140672,0.3086359457651383,62.0,0.0
2025-12-02 00:16:00+07:00,0.7586285850075271,0.30814949917541534,62.0,0.0
2025-12-02 00:17:00+07:00,0.764531951336727,0.3089214059315183,62.0,0.0
2025-12-02 00:18:00+07:00,0.7611366958132376,0.3076266415780075,62.0,0.0
2025-12-02 00:19:00+07:00,0.7600975789969807,0.3090969053957133,62.0,0.0
2025-12-02 00:20:00+07:00,0.7657207854556702,0.30721253089258255,62.0,0.0
2025-12-02 00:21:00+07:00,0.7581705573805146,0.30861045829101463,62.0,0.0
2025-12-02 00:22:00+07:00,0.763746995248689,0.30633357698883706,62.0,0.0
2025-12-02 00:23:00+07:00,0.7641524968974382,0.3072054911956519,62.0,0.0
2025-12-02 00:24:00+07:00,0.760521613831102,0.3068032744313465,62.0,0.0
2025-12-02 00:25:00+07:00,0.7641381688390592,0.306548157339101,62.0,0.0
2025-12-02 00:26:00+07:00,0.7679148176928838,0.3055094815387117,62.0,0.0
2025-12-02 00:27:00+07:00,0.7708138611290969,0.3060379222851613,62.0,0.0
2025-12-02 00:28:00+07:00,0.7600088192177261,0.30613089068661004,62.0,0.0
2025-12-02 00:29:00+07:00,0.7573969841438717,0.30565366789509774,62.0,0.0
2025-12-02 00:30:00+07:00,0.7653404576519816,0.3081681903889555,62.0,0.0
2025-12-02 00:31:00+07:00,0.772334464743444,0.3056158006224657,62.0,0.0
2025-12-02 00:32:00+07:00,0.7716875090122244,0.3078963236051779,62.0,0.0
2025-12-02 00:33:00+07:00,0.7659849491966845,0.3082939281702307,62.0,0.0
2025-12-02 00:34:00+07:00,0.7652175682984459,0.30651393040288144,62.0,0.0
2025-12-02 00:35:00+07:00,0.7606197536378574,0.3086893484595955,62.0,0.0
2025-12-02 00:36:00+07:00,0.764031027981811,0.30771111404727514,62.0,0.0
2025-12-02 00:37:00+07:00,0.7684499609679845,0.3078060252126837,62.0,0.0
2025-12-02 00:38:00+07:00,0.7643913030534093,0.3072149584964376,62.0,0.0
2025-12-02 00:39:00+07:00,0.7648105984254054,0.3069384793539653,62.0,0.0
2025-12-02 00:40:00+07:00,0.7610732635714527,0.30621633442396196,62.0,0.0
2025-12-02 00:41:00+07:00,0.7584050042316763,0.30632847946299585,62.0,0.0
2025-12-02 00:42:00+07:00,0.7629478074882372,0.30796259113872615,62.0,0.0
2025-12-02 00:43:00+07:00,0.7616094203606247,0.3079465704431062,62.0,0.0
2025-12-02 00:44:00+07:00,0.7661537728497958,0.3063226535856104,62.0,0.0
2025-12-02 00:45:00+07:00,0.7608137683683402,0.30870027144801326,62.0,0.0
2025-12-02 00:46:00+07:00,0.7603422409291487,0.3093224088419861,62.0,0.0
2025-12-02 00:47:00+07:00,0.6764978854630845,0.29796712650086155,37.0,0.0
2025-12-02 00:48:00+07:00,0.28437570559465547,0.29633689835819743,37.0,0.0
2025-12-02 00:49:00+07:00,0.2816591503376631,0.29496445779576685,37.0,0.0
2025-12-02 00:50:00+07:00,0.27956213956299647,0.29595118770719364,37.0,0.0
2025-12-02 00:51:00+07:00,0.2790173324086152,0.29513291857860574,37.0,0.0
2025-12-02 00:52:00+07:00,0.2787069587797932,0.29429887074032823,37.0,0.0
2025-12-02 00:53:00+07:00,0.28299068909926556,0.294599380385388,37.0,0.0
2025-12-02 00:54:00+07:00,0.27980558771765207,0.29455131844913207,37.0,0.0
2025-12-02 00:55:00+07:00,0.28323498141272524,0.2934978356580064,37.0,0.0
2025-12-02 00:56:00+07:00,0.28026302689355337,0.29360536870990606,37.0,0.0
2025-12-02 00:57:00+07:00,0.2814371182747941,0.29280311976832585,37.0,0.0
2025-12-02 00:58:00+07:00,0.27984725185697984,0.29442315278447717,37.0,0.0
2025-12-02 00:59:00+07:00,0.28125964714022134,0.29425736255797547,37.0,0.0
2025-12-02 01:00:00+07:00,0.2822852380386885,0.2951989432317921,37.0,0.0
2025-12-02 01:01:00+07:00,0.2821193421759789,0.29340899364523854,37.0,0.0
2025-12-02 01:02:00+07:00,0.27389469176390263,0.2938663118942478,37.0,0.0
2025-12-02 01:03:00+07:00,0.27460004462929494,0.294444513597348,37.0,0.0
2025-12-02 01:04:00+07:00,0.2754687696987899,0.29387747812362836,37.0,0.0
