timestamp,cpu_idle_109,cpu_iowait_109,cpu_irq_109,cpu_nice_109,cpu_softirq_109,cpu_steal_109,cpu_system_109,cpu_user_109,cpu_idle_110,cpu_iowait_110,cpu_irq_110,cpu_nice_110,cpu_softirq_110,cpu_steal_110,cpu_system_110,cpu_user_110,mem_avail_109,mem_avail_110,mem_total_109,mem_total_110,running_total,pending
2025-12-02 00:19:00+07:00,1666895.3125,357.7175,0.0,130.5425,1018.39,0.0,84369.3275,862467.775,2111006.17,361.4275,0.0,86.3475,205.1825,0.0,33573.6325,500594.82,5315850240.0,6342561792.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:20:00+07:00,1666906.9625,357.72249999999997,0.0,130.5425,1018.44,0.0,84373.4125,862509.91,2111021.5175,361.4325,0.0,86.3475,205.1925,0.0,33576.26,500634.2175,5338288128.0,6351921152.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:21:00+07:00,1666919.06,357.725,0.0,130.5425,1018.49,0.0,84377.525,862551.44,2111037.21,361.4325,0.0,86.3475,205.20000000000002,0.0,33578.7875,500673.1925,5311033344.0,6355587072.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:22:00+07:00,1666930.725,357.73,0.0,130.5425,1018.5375,0.0,84381.9175,862593.2424999999,2111052.745,361.435,0.0,86.3475,205.205,0.0,33581.3725,500712.3725,5352878080.0,6352162816.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:23:00+07:00,1666942.255,357.73,0.0,130.5425,1018.5825,0.0,84386.045,862635.3574999999,2111068.3225,361.435,0.0,86.3475,205.2125,0.0,33583.965,500751.4075,5328044032.0,6362284032.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:24:00+07:00,1666954.09,357.73249999999996,0.0,130.5425,1018.6275,0.0,84389.7925,862677.45,2111083.98,361.4375,0.0,86.3475,205.2175,0.0,33586.51,500790.3575,5331984384.0,6365130752.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:25:00+07:00,1666965.8525,357.73249999999996,0.0,130.5425,1018.6725,0.0,84393.6875,862719.7975,2111099.41,361.4425,0.0,86.3475,205.225,0.0,33589.145000000004,500829.62,5351211008.0,6350209024.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:26:00+07:00,1666977.135,357.7375,0.0,130.5425,1018.7225000000001,0.0,84397.95,862762.0549999999,2111114.85,361.4475,0.0,86.3475,205.23,0.0,33591.6775,500869.0,5355790336.0,6363156480.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:27:00+07:00,1666988.395,357.74,0.0,130.5425,1018.77,0.0,84402.265,862804.4875,2111130.0975,361.45,0.0,86.3475,205.2375,0.0,33594.295,500908.7875,5359443968.0,6350585856.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:28:00+07:00,1667000.5150000001,357.745,0.0,130.5425,1018.8225,0.0,84406.0575,862846.4524999999,2111145.6025,361.45,0.0,86.3475,205.2475,0.0,33596.865,500947.9625,5350572032.0,6357889024.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:29:00+07:00,1667012.8475,357.745,0.0,130.5425,1018.8675000000001,0.0,84409.8425,862888.1174999999,2111161.1950000003,361.45500000000004,0.0,86.3475,205.255,0.0,33599.41,500987.15,5355102208.0,6361411584.0,8437084160.0,8437080064.0,62.0,0.0
